Region,Scenario,Sector,outcome,value,adm0_iso
Spain,Pollination_100pc,Agricultural products,abs_change,-3421.3953463563,ESP
Spain,Pollination_100pc,Agricultural products,pct_change,-0.0599,ESP
Spain,Pollination_20perc,Agricultural products,abs_change,-658.375102195655,ESP
Spain,Pollination_20perc,Agricultural products,pct_change,-0.0115,ESP
Spain,Pollination_100pc,"Apparel, accessories & luxury goods",abs_change,257.855225537485,ESP
Spain,Pollination_100pc,"Apparel, accessories & luxury goods",pct_change,0.0085,ESP
Spain,Pollination_20perc,"Apparel, accessories & luxury goods",abs_change,47.3359354350286,ESP
Spain,Pollination_20perc,"Apparel, accessories & luxury goods",pct_change,0.0016,ESP
Spain,Pollination_100pc,Beverages and tobacco products,abs_change,-111.629187612928,ESP
Spain,Pollination_100pc,Beverages and tobacco products,pct_change,-0.0038,ESP
Spain,Pollination_20perc,Beverages and tobacco products,abs_change,-20.1471448653101,ESP
Spain,Pollination_20perc,Beverages and tobacco products,pct_change,-7e-4,ESP
Spain,Pollination_100pc,Coal & consumable fuels,abs_change,-419.220345125257,ESP
Spain,Pollination_100pc,Coal & consumable fuels,pct_change,-0.0054,ESP
Spain,Pollination_20perc,Coal & consumable fuels,abs_change,-91.7616714980395,ESP
Spain,Pollination_20perc,Coal & consumable fuels,pct_change,-0.0012,ESP
Spain,Pollination_100pc,Electricity,abs_change,124.390158787631,ESP
Spain,Pollination_100pc,Electricity,pct_change,0.0015,ESP
Spain,Pollination_20perc,Electricity,abs_change,20.675840939657,ESP
Spain,Pollination_20perc,Electricity,pct_change,2e-4,ESP
Spain,Pollination_100pc,Fertilizers,abs_change,13.7150659064801,ESP
Spain,Pollination_100pc,Fertilizers,pct_change,0.0395,ESP
Spain,Pollination_20perc,Fertilizers,abs_change,2.4362871106374002,ESP
Spain,Pollination_20perc,Fertilizers,pct_change,0.007,ESP
Spain,Pollination_100pc,Food services,abs_change,-181.230728530383,ESP
Spain,Pollination_100pc,Food services,pct_change,-4e-4,ESP
Spain,Pollination_20perc,Food services,abs_change,-26.0685672094696,ESP
Spain,Pollination_20perc,Food services,pct_change,-1e-4,ESP
Spain,Pollination_100pc,Forest products,abs_change,29.2404473190545,ESP
Spain,Pollination_100pc,Forest products,pct_change,8e-4,ESP
Spain,Pollination_20perc,Forest products,abs_change,4.54604928263142,ESP
Spain,Pollination_20perc,Forest products,pct_change,1e-4,ESP
Spain,Pollination_100pc,Industrials,abs_change,491.839229623088,ESP
Spain,Pollination_100pc,Industrials,pct_change,8e-4,ESP
Spain,Pollination_20perc,Industrials,abs_change,66.5901193910976,ESP
Spain,Pollination_20perc,Industrials,pct_change,1e-4,ESP
